Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,Differential I/O Pairs,Chip Globals,PLL
ACT_UNIQUE_debouncer_0/Primitives,6,7,0,0,0,0
ACT_UNIQUE_prbscheck_parallel_fab_0/Primitives,13,17,0,0,0,0
ACT_UNIQUE_prbscheck_parallel_fab_1/Primitives,13,17,0,0,0,0
CORERXIODBITALIGN_C0_0/CORERXIODBITALIGN_C0_0/u_CoreRxIODBitAlign/Primitives,1059,781,0,0,0,0
CORERXIODBITALIGN_C0_1/CORERXIODBITALIGN_C0_0/u_CoreRxIODBitAlign/Primitives,1059,781,0,0,0,0
PF_CCC_C0_0/PF_CCC_C0_0/Primitives,0,0,0,0,1,1
PF_IOD_GENERIC_RX_C1_0/COREBCLKSCLKALIGN_0/PF_IOD_GENERIC_RX_C1_TR_0/genblk1.U_ICB_BCLKSCLKALIGN/Primitives,692,657,0,0,1,0
PF_IOD_GENERIC_RX_C1_0/PF_IOD_RX/I_INBUF_DIFF_0/Primitives,0,0,0,1,0,0
PF_IOD_GENERIC_RX_C1_0/PF_IOD_RX/Primitives,0,0,0,1,0,0
PF_IOD_GENERIC_RX_C1_0/PF_LANECTRL_0/I_LANECTRL_PAUSE_SYNC/Primitives,0,2,0,0,0,0
PF_IOD_GENERIC_RX_C1_0/PF_LANECTRL_0/Primitives,1,0,0,0,0,0
PF_IOD_GENERIC_RX_C1_0/Primitives,1,0,0,1,1,0
PF_IOD_GENERIC_TX_C0_0/LANECTRL_ADDR_CMD_0/I_LANECTRL_PAUSE_SYNC/Primitives,0,2,0,0,0,0
PF_IOD_GENERIC_TX_C0_0/PF_IOD_TX/Primitives,0,0,0,2,0,0
PF_IOD_GENERIC_TX_C0_0/PF_IOD_TX_CLK/Primitives,0,0,0,1,0,0
PF_IOD_GENERIC_TX_C0_0/Primitives,1,0,0,0,0,0
PF_IOD_TX_CCC_C0_0/COREBCLKSCLKALIGN_0/PF_IOD_TX_CCC_C0_TR_0/genblk1.U_PLL_BCLKSCLKALIGN/Primitives,74,50,0,0,0,0
PF_IOD_TX_CCC_C0_0/PF_CCC_0/Primitives,1,0,0,0,1,1
PF_OSC_C1_0/PF_OSC_C1_0/Primitives,0,0,0,0,1,0
Primitives/Primitives,1,0,71,0,0,0
debouncer_0/Primitives,7,7,0,0,0,0
prbsgen_parallel_fab_0/Primitives,8,8,0,0,0,0
