
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. IOG_IOD_DDRX4_COMP, 1579, 2036, 1054, 1, 0, 0, 0, 11, 29
.	. ACT_UNIQUE_debouncer_0, 7, 7, 0, 0, 0, 0, 0, 0, 0
.	. ACT_UNIQUE_debouncer_1, 7, 6, 0, 0, 0, 0, 0, 0, 0
.	. ACT_UNIQUE_prbscheck_parallel_fab, 17, 13, 0, 0, 0, 0, 0, 0, 0
.	. ACT_UNIQUE_prbscheck_parallel_fab_1, 17, 13, 0, 0, 0, 0, 0, 0, 0
.	. ACT_UNIQUE_prbsgen_parallel_fab, 8, 8, 0, 0, 0, 0, 0, 0, 0
.	. CORERXIODBITALIGN_C0_0, 406, 844, 294, 0, 0, 0, 0, 0, 0
.	.	. CORERXIODBITALIGN_C0_CORERXIODBITALIGN_C0_0_CORERXIODBITALIGN_0s_0s_0s_26s_10s_10s_1, 406, 844, 294, 0, 0, 0, 0, 0, 0
.	.	.	. CORERXIODBITALIGN_C0_CORERXIODBITALIGN_C0_0_CORERXIODBITALIGN_TRNG_Z1_1, 406, 844, 294, 0, 0, 0, 0, 0, 0
.	. CORERXIODBITALIGN_C0_1, 406, 843, 294, 0, 0, 0, 0, 0, 0
.	.	. CORERXIODBITALIGN_C0_CORERXIODBITALIGN_C0_0_CORERXIODBITALIGN_0s_0s_0s_26s_10s_10s_0, 406, 843, 294, 0, 0, 0, 0, 0, 0
.	.	.	. CORERXIODBITALIGN_C0_CORERXIODBITALIGN_C0_0_CORERXIODBITALIGN_TRNG_Z1_0, 406, 843, 294, 0, 0, 0, 0, 0, 0
.	. PF_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. PF_CCC_C0_PF_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. PF_IOD_GENERIC_RX_C1, 659, 246, 447, 0, 0, 0, 0, 4, 3
.	.	. PF_IOD_GENERIC_RX_C1_PF_CLK_DIV_FIFO_PF_CLK_DIV_DELAY, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_IOD_GENERIC_RX_C1_PF_CLK_DIV_RXCLK_PF_CLK_DIV_DELAY, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_IOD_GENERIC_RX_C1_PF_IOD_CLK_TRAINING_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_IOD_GENERIC_RX_C1_PF_IOD_RX_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 2
.	.	. PF_IOD_GENERIC_RX_C1_PF_LANECTRL_0_PF_LANECTRL, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PF_IOD_GENERIC_RX_C1_PF_LANECTRL_0_PF_LANECTRL_PAUSE_SYNC_3, 2, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_IOD_GENERIC_RX_C1_TR, 657, 244, 447, 0, 0, 0, 0, 1, 0
.	.	.	. PF_IOD_GENERIC_RX_C1_TR_PF_IOD_GENERIC_RX_C1_TR_0_COREBCLKSCLKALIGN_Z2, 657, 244, 447, 0, 0, 0, 0, 1, 0
.	.	.	.	. ICB_BCLKSCLKALIGN_Z3, 657, 244, 447, 0, 0, 0, 0, 1, 0
.	. PF_IOD_GENERIC_TX_C0, 2, 0, 0, 0, 0, 0, 0, 2, 3
.	.	. PF_IOD_GENERIC_TX_C0_LANECTRL_ADDR_CMD_0_PF_LANECTRL, 2, 0, 0, 0, 0, 0, 0, 2, 0
.	.	.	. PF_IOD_GENERIC_TX_C0_LANECTRL_ADDR_CMD_0_PF_LANECTRL_PAUSE_SYNC_1, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_IOD_GENERIC_TX_C0_PF_IOD_CLK_TRAINING_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_IOD_GENERIC_TX_C0_PF_IOD_TX_CLK_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	. PF_IOD_GENERIC_TX_C0_PF_IOD_TX_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 2
.	. PF_IOD_TX_CCC_C0, 50, 56, 19, 0, 0, 0, 0, 3, 0
.	.	. PF_IOD_TX_CCC_C0_PF_CCC_0_PF_CCC, 0, 1, 0, 0, 0, 0, 0, 3, 0
.	.	. PF_IOD_TX_CCC_C0_TR, 50, 55, 19, 0, 0, 0, 0, 0, 0
.	.	.	. PF_IOD_TX_CCC_C0_TR_PF_IOD_TX_CCC_C0_TR_0_COREBCLKSCLKALIGN_Z4, 50, 55, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	. PLL_BCLKSCLKALIGN_Z5, 50, 55, 19, 0, 0, 0, 0, 0, 0
.	. PF_OSC_C1, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. PF_OSC_C1_PF_OSC_C1_0_PF_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
