@W: CL169 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\hdl\prbscheck_parallel_fab.v":61:0:61:5|Pruning unused register i[7:0]. Make sure that there are no unused intermediate registers.
@W: CG1340 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":245:34:245:47|Index into variable early_flags_lsb could be out of range ; a simulation mismatch is possible.
@W: CG1340 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":245:34:245:47|Index into variable late_flags_lsb could be out of range ; a simulation mismatch is possible.
@W: CG1340 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":245:34:245:47|Index into variable early_flags_msb could be out of range ; a simulation mismatch is possible.
@W: CG1340 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":245:34:245:47|Index into variable late_flags_msb could be out of range ; a simulation mismatch is possible.
@W: CG360 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":177:8:177:15|Removing wire re_train, as there is no assignment to it.
@W: CL169 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1003:3:1003:8|Pruning unused register LP_edge_reg[3:0]. Make sure that there are no unused intermediate registers.
@W: CL271 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1003:3:1003:8|Pruning unused bits 1 to 0 of LP_IN_reg[3:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":982:3:982:8|Pruning unused bits 1 to 0 of skip_trng_reg[2:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL265 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":269:3:269:8|Removing unused bit 8 of tapcnt_final_upd[8:0]. Either assign all bits or reduce the width of the signal.
@W: CL265 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":269:3:269:8|Removing unused bit 8 of tapcnt_final[8:0]. Either assign all bits or reduce the width of the signal.
