;----------------------------------------------------------------------------------
; Register Lock Bits Configuration File for peripheral blocks
; Date:    Tue May 17 09:39:02 2022
; Version: 2022.1 2022.1.0.1
; Design:  PCIe_EP_Demo
; Family:  PolarFire
; Die:     MPF300T
; Package: FCG1152
; Format:  <Name of the peripheral block or register within peripheral block> <Locked/Unlocked value>
;              Peripheral block or register within peripheral block is:
;                  Locked   when value is 0
;                  Unlocked when value is 1
;----------------------------------------------------------------------------------
Q1_TXPLL0_EXTPLL_CLK_SEL_LOCK                  1
Q1_TXPLL0_EXTPLL_CLKBUF_LOCK                   1
Q1_TXPLL0_EXTPLL_CTRL_LOCK                     1
Q1_TXPLL0_EXTPLL_DIV_1_LOCK                    1
Q1_TXPLL0_EXTPLL_DIV_2_LOCK                    1
Q1_TXPLL0_SOFT_RESET_LOCK                      1
Q2_TXPLL1_EXTPLL_CLK_SEL_LOCK                  1
Q2_TXPLL1_EXTPLL_CLKBUF_LOCK                   1
Q2_TXPLL1_EXTPLL_CTRL_LOCK                     1
Q2_TXPLL1_EXTPLL_DIV_1_LOCK                    1
Q2_TXPLL1_EXTPLL_DIV_2_LOCK                    1
Q2_TXPLL1_SOFT_RESET_LOCK                      1
Q1_TXPLL1_EXTPLL_CLK_SEL_LOCK                  1
Q1_TXPLL1_EXTPLL_CLKBUF_LOCK                   1
Q1_TXPLL1_EXTPLL_CTRL_LOCK                     1
Q1_TXPLL1_EXTPLL_DIV_1_LOCK                    1
Q1_TXPLL1_EXTPLL_DIV_2_LOCK                    1
Q1_TXPLL1_SOFT_RESET_LOCK                      1
Q2_TXPLL0_EXTPLL_CLK_SEL_LOCK                  1
Q2_TXPLL0_EXTPLL_CLKBUF_LOCK                   1
Q2_TXPLL0_EXTPLL_CTRL_LOCK                     1
Q2_TXPLL0_EXTPLL_DIV_1_LOCK                    1
Q2_TXPLL0_EXTPLL_DIV_2_LOCK                    1
Q2_TXPLL0_SOFT_RESET_LOCK                      1
Q3_TXPLL_EXTPLL_CLK_SEL_LOCK                   1
Q3_TXPLL_EXTPLL_CLKBUF_LOCK                    1
Q3_TXPLL_EXTPLL_CTRL_LOCK                      1
Q3_TXPLL_EXTPLL_DIV_1_LOCK                     1
Q3_TXPLL_EXTPLL_DIV_2_LOCK                     1
Q3_TXPLL_SOFT_RESET_LOCK                       1
Q1_MAIN_SOFT_RESET_LOCK                        1
Q1_PCS_LANE0_L8_R0_LOCK                        1
Q1_PCS_LANE0_LCLK_R0_LOCK                      1
Q1_PCS_LANE0_LCLK_R1_LOCK                      1
Q1_PCS_LANE0_LFWF_R0_LOCK                      1
Q1_PCS_LANE0_LNTV_R0_LOCK                      1
Q1_PCS_LANE0_LOVR_R0_LOCK                      1
Q1_PCS_LANE0_LPIP_R0_LOCK                      1
Q1_PCS_LANE0_PMA_CTRL_R0_LOCK                  1
Q1_PCS_LANE1_L8_R0_LOCK                        1
Q1_PCS_LANE1_LCLK_R0_LOCK                      1
Q1_PCS_LANE1_LCLK_R1_LOCK                      1
Q1_PCS_LANE1_LFWF_R0_LOCK                      1
Q1_PCS_LANE1_LNTV_R0_LOCK                      1
Q1_PCS_LANE1_LOVR_R0_LOCK                      1
Q1_PCS_LANE1_LPIP_R0_LOCK                      1
