SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
2,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
3,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
4,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
5,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
6,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
7,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
8,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
9,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
10,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
