pin,slack
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/_l32.un1637_rx_d_i:A,13593
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/_l32.un1637_rx_d_i:B,13571
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/_l32.un1637_rx_d_i:Y,13571
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/_l19.un118_prbs23_i_0:A,12612
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/_l19.un118_prbs23_i_0:B,12581
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/_l19.un118_prbs23_i_0:C,12389
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/_l19.un118_prbs23_i_0:Y,12389
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31_5_i_0_x4[61]:A,13546
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31_5_i_0_x4[61]:B,13514
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31_5_i_0_x4[61]:Y,13514
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE0_ERR_CNT[14]:ALn,
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE0_ERR_CNT[14]:CLK,
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE0_ERR_CNT[14]:D,7107
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_179_1.SUM_0_a2[0]:A,6934
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_179_1.SUM_0_a2[0]:B,5285
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_179_1.SUM_0_a2[0]:C,6104
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_179_1.SUM_0_a2[0]:Y,5285
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_141_1.N_140_18:A,6209
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_141_1.N_140_18:B,4385
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_141_1.N_140_18:C,5256
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_141_1.N_140_18:D,5179
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_141_1.N_140_18:Y,4385
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/PRBS_ERR_CNT_Z[5]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/PRBS_ERR_CNT_Z[5]:CLK,7107
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/PRBS_ERR_CNT_Z[5]:D,2031
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/PRBS_ERR_CNT_Z[5]:EN,2133
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/PRBS_ERR_CNT_Z[5]:Q,7107
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7[34]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7[34]:CLK,13488
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7[34]:D,3065
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs7[34]:Q,13488
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_97_1.SUM_0_a2[0]:A,3581
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_97_1.SUM_0_a2[0]:B,3538
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_97_1.SUM_0_a2[0]:C,3483
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_97_1.SUM_0_a2[0]:Y,3483
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_14[5]:A,9342
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_14[5]:B,11034
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_14[5]:C,9305
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_14[5]:Y,9305
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23[70]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23[70]:CLK,12710
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23[70]:D,2324
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs23[70]:Q,12710
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_DATA_RATE[4]:ALn,
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_DATA_RATE[4]:CLK,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_39_1.SUM[0]:A,3639
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_39_1.SUM[0]:B,3602
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_39_1.SUM[0]:C,3536
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_39_1.SUM[0]:Y,3536
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_97_1.CO0:A,5429
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_97_1.CO0:B,5392
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_97_1.CO0:C,5326
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_97_1.CO0:Y,5326
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[38]:A,12672
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[38]:B,4634
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[38]:C,3718
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[38]:D,2705
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_12_m2_2[38]:Y,2705
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[12]:A,8537
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[12]:B,13874
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[12]:C,3475
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[12]:D,9169
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_84[12]:Y,3475
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63[40]:A,13085
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63[40]:B,8537
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_63[40]:C,8471
